wavelength_nm,A_2uM,A_4uM,A_6uM,A_8uM,A_10uM
430.0,0.0191,0.0305,0.0616,0.0373,0.0629
432.0,0.0302,0.0242,0.0336,0.0341,0.0575
434.0,0.0223,0.0205,0.0394,0.0480,0.0560
436.0,0.0312,0.0403,0.0400,0.0959,0.1029
438.0,0.0314,0.0417,0.0366,0.0784,0.0939
440.0,0.0232,0.0497,0.0653,0.0842,0.0962
442.0,0.0279,0.0612,0.0652,0.0940,0.1239
444.0,0.0356,0.0530,0.0718,0.1145,0.1253
446.0,0.0377,0.0665,0.1138,0.1143,0.1591
448.0,0.0372,0.0805,0.1040,0.1130,0.1856
450.0,0.0362,0.0886,0.1255,0.1671,0.2021
452.0,0.0599,0.0985,0.1437,0.1891,0.2386
454.0,0.0460,0.1089,0.1562,0.1922,0.2417
456.0,0.0620,0.1128,0.1716,0.2220,0.2958
458.0,0.0770,0.1080,0.2131,0.2479,0.3185
460.0,0.0720,0.1397,0.2049,0.2794,0.3574
462.0,0.0850,0.1601,0.2237,0.3101,0.3845
464.0,0.0942,0.1764,0.2381,0.3142,0.4230
466.0,0.0960,0.1838,0.2726,0.3589,0.4511
468.0,0.1166,0.2257,0.2966,0.3973,0.4900
470.0,0.1160,0.2074,0.3315,0.4175,0.5250
472.0,0.1301,0.2207,0.3445,0.4515,0.5642
474.0,0.1311,0.2332,0.3597,0.4671,0.5945
476.0,0.1222,0.2602,0.3789,0.4941,0.6276
478.0,0.1429,0.2792,0.3997,0.5417,0.6773
480.0,0.1379,0.2760,0.4183,0.5292,0.7140
482.0,0.1534,0.2968,0.4326,0.5845,0.7332
484.0,0.1642,0.3123,0.4611,0.6025,0.7623
486.0,0.1689,0.3236,0.4834,0.6172,0.7906
488.0,0.1819,0.3249,0.4812,0.6410,0.7946
490.0,0.1795,0.3351,0.4968,0.6665,0.8604
492.0,0.1741,0.3192,0.5305,0.6982,0.8517
494.0,0.1924,0.3645,0.5325,0.7048,0.8602
496.0,0.1756,0.3453,0.5352,0.7228,0.8874
498.0,0.2011,0.3791,0.5489,0.7140,0.9113
500.0,0.1909,0.3606,0.5635,0.7287,0.9153
502.0,0.1749,0.3746,0.5357,0.7237,0.9290
504.0,0.1779,0.4032,0.5752,0.7614,0.9275
506.0,0.2070,0.3843,0.5839,0.7625,0.9424
508.0,0.1949,0.3822,0.5724,0.7573,0.9508
510.0,0.1861,0.3762,0.5922,0.7790,0.9636
512.0,0.1889,0.3939,0.5737,0.7638,0.9523
514.0,0.2038,0.3888,0.5748,0.7799,0.9583
516.0,0.2042,0.3688,0.5431,0.7850,0.9519
518.0,0.2002,0.4074,0.5678,0.7516,0.9463
520.0,0.2014,0.3788,0.5766,0.7493,0.9563
522.0,0.1996,0.3770,0.5773,0.7381,0.9331
524.0,0.1920,0.3699,0.5638,0.7408,0.9141
526.0,0.1806,0.3612,0.5561,0.7236,0.8990
528.0,0.2012,0.3671,0.5336,0.6973,0.8638
530.0,0.1856,0.3546,0.5455,0.6915,0.8724
532.0,0.1798,0.3454,0.5087,0.6930,0.8398
534.0,0.1592,0.3322,0.4832,0.6549,0.8147
536.0,0.1726,0.3329,0.4955,0.6317,0.7943
538.0,0.1534,0.3210,0.4503,0.6129,0.7688
540.0,0.1655,0.3057,0.4201,0.5956,0.7446
542.0,0.1524,0.2831,0.4363,0.5708,0.7032
544.0,0.1413,0.2825,0.4032,0.5320,0.6695
546.0,0.1272,0.2521,0.3893,0.5227,0.6484
548.0,0.1281,0.2438,0.3763,0.5039,0.6226
550.0,0.1212,0.2465,0.3142,0.4674,0.5569
552.0,0.1057,0.2188,0.3234,0.4408,0.5479
554.0,0.1080,0.1904,0.2950,0.4154,0.5209
556.0,0.1103,0.2047,0.2973,0.3707,0.4632
558.0,0.1054,0.1830,0.2618,0.3552,0.4292
560.0,0.1009,0.1608,0.2442,0.3125,0.4089
562.0,0.0857,0.1539,0.2271,0.3067,0.3663
564.0,0.0720,0.1397,0.2016,0.2838,0.3318
566.0,0.0685,0.1389,0.1916,0.2508,0.3168
568.0,0.0742,0.1424,0.1588,0.2468,0.2754
570.0,0.0494,0.1224,0.1601,0.2160,0.2696
572.0,0.0476,0.1087,0.1287,0.1860,0.2517
574.0,0.0512,0.0867,0.1260,0.1760,0.2159
576.0,0.0529,0.0664,0.1223,0.1326,0.1957
578.0,0.0421,0.0596,0.0968,0.1336,0.1613
580.0,0.0244,0.0571,0.1001,0.1206,0.1563
582.0,0.0324,0.0763,0.0839,0.1128,0.1468
584.0,0.0311,0.0501,0.0664,0.0810,0.1189
586.0,0.0087,0.0516,0.0762,0.0945,0.1197
588.0,0.0220,0.0372,0.0600,0.0829,0.0864
590.0,0.0047,0.0297,0.0509,0.0654,0.0697
592.0,0.0166,0.0273,0.0654,0.0807,0.0679
594.0,0.0284,0.0383,0.0574,0.0548,0.0739
596.0,0.0244,0.0156,0.0299,0.0472,0.0455
598.0,0.0289,0.0218,0.0380,0.0526,0.0449
600.0,0.0244,0.0082,0.0459,0.0480,0.0463
602.0,0.0257,0.0181,0.0136,0.0282,0.0289
604.0,0.0218,0.0249,0.0439,0.0395,0.0291
606.0,0.0116,0.0088,0.0165,0.0283,0.0383
608.0,0.0048,0.0216,0.0148,0.0184,0.0143
610.0,-0.0155,0.0246,0.0195,0.0036,0.0247
612.0,0.0216,0.0068,0.0179,0.0249,0.0268
614.0,0.0224,0.0138,0.0225,0.0123,0.0363
616.0,0.0048,0.0083,0.0196,0.0059,0.0091
618.0,0.0196,0.0160,0.0125,0.0053,0.0061
620.0,0.0114,0.0141,0.0109,0.0153,0.0204
622.0,0.0215,0.0078,-0.0025,0.0010,0.0114
624.0,0.0042,0.0101,0.0015,0.0155,0.0092
626.0,0.0004,-0.0044,-0.0105,-0.0144,-0.0002
628.0,0.0092,0.0125,0.0088,-0.0020,0.0108
630.0,0.0077,0.0088,0.0343,0.0219,-0.0133
632.0,-0.0089,0.0148,0.0182,-0.0025,0.0036
634.0,-0.0066,0.0023,0.0075,-0.0062,0.0166
636.0,0.0068,0.0096,-0.0030,0.0136,0.0177
638.0,0.0100,0.0208,-0.0048,-0.0131,0.0177
640.0,-0.0129,0.0017,0.0054,0.0070,0.0127
642.0,0.0176,0.0055,0.0186,0.0152,0.0097
644.0,0.0163,-0.0066,0.0209,0.0120,0.0026
646.0,0.0195,0.0018,0.0065,0.0039,0.0062
648.0,0.0123,0.0137,-0.0005,0.0246,-0.0089
650.0,0.0117,0.0020,0.0003,0.0060,0.0204
652.0,-0.0084,-0.0092,0.0009,0.0107,0.0079
654.0,0.0035,0.0154,0.0146,-0.0010,-0.0192
656.0,-0.0064,0.0074,0.0121,-0.0074,-0.0010
658.0,-0.0000,-0.0215,0.0031,0.0154,0.0121
660.0,0.0095,0.0013,-0.0031,0.0023,0.0185
662.0,0.0289,-0.0027,0.0025,0.0006,0.0064
664.0,-0.0030,-0.0117,0.0045,-0.0127,0.0120
666.0,-0.0091,-0.0061,-0.0206,-0.0063,0.0143
668.0,-0.0004,0.0130,0.0020,0.0011,0.0000
670.0,-0.0002,0.0138,0.0034,0.0011,0.0209
672.0,-0.0059,0.0099,0.0027,0.0009,0.0010
674.0,0.0093,-0.0049,0.0099,0.0189,0.0099
676.0,0.0149,-0.0012,0.0121,0.0004,-0.0065
678.0,-0.0013,-0.0011,-0.0100,0.0090,-0.0126
680.0,0.0034,0.0144,0.0200,0.0038,-0.0080
682.0,0.0068,-0.0027,0.0272,0.0107,-0.0069
684.0,-0.0021,0.0258,0.0036,0.0104,0.0011
686.0,0.0080,-0.0002,0.0023,0.0037,0.0043
688.0,0.0059,0.0150,-0.0052,0.0059,-0.0080
690.0,-0.0042,0.0261,-0.0110,0.0086,0.0071
692.0,-0.0003,0.0007,-0.0008,-0.0073,0.0098
694.0,-0.0002,-0.0018,-0.0019,0.0269,0.0068
696.0,0.0027,0.0095,0.0103,0.0202,0.0055
698.0,0.0136,0.0197,0.0024,-0.0061,0.0137
700.0,0.0021,0.0058,0.0111,-0.0035,0.0110
